Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.000000e-12
Record Length,1000
Zero Index,310.617188
Vertical Units,V

TIME,CH1
-1.242469e-09,9.671875e-03
-1.238469e-09,9.296875e-03
-1.234469e-09,9.171875e-03
-1.230469e-09,9.000000e-03
-1.226469e-09,8.812500e-03
-1.222469e-09,8.578125e-03
-1.218469e-09,8.625000e-03
-1.214469e-09,8.031250e-03
-1.210469e-09,7.625000e-03
-1.206469e-09,7.406250e-03
-1.202469e-09,7.390625e-03
-1.198469e-09,6.750000e-03
-1.194469e-09,6.421875e-03
-1.190469e-09,6.093750e-03
-1.186469e-09,5.781250e-03
-1.182469e-09,5.468750e-03
-1.178469e-09,5.500000e-03
-1.174469e-09,4.953125e-03
-1.170469e-09,4.640625e-03
-1.166469e-09,4.562500e-03
-1.162469e-09,4.718750e-03
-1.158469e-09,4.296875e-03
-1.154469e-09,4.234375e-03
-1.150469e-09,4.218750e-03
-1.146469e-09,4.218750e-03
-1.142469e-09,4.281250e-03
-1.138469e-09,4.656250e-03
-1.134469e-09,4.468750e-03
-1.130469e-09,4.515625e-03
-1.126469e-09,4.796875e-03
-1.122469e-09,5.296875e-03
-1.118469e-09,5.187500e-03
-1.114469e-09,5.406250e-03
-1.110469e-09,5.625000e-03
-1.106469e-09,5.828125e-03
-1.102469e-09,6.031250e-03
-1.098469e-09,6.531250e-03
-1.094469e-09,6.390625e-03
-1.090469e-09,6.421875e-03
-1.086469e-09,6.640625e-03
-1.082469e-09,7.015625e-03
-1.078469e-09,6.734375e-03
-1.074469e-09,6.734375e-03
-1.070469e-09,6.671875e-03
-1.066469e-09,6.578125e-03
-1.062469e-09,6.437500e-03
-1.058469e-09,6.562500e-03
-1.054469e-09,6.031250e-03
-1.050469e-09,5.656250e-03
-1.046469e-09,5.453125e-03
-1.042469e-09,5.406250e-03
-1.038469e-09,4.734375e-03
-1.034469e-09,4.343750e-03
-1.030469e-09,3.937500e-03
-1.026469e-09,3.500000e-03
-1.022469e-09,3.078125e-03
-1.018469e-09,2.953125e-03
-1.014469e-09,2.218750e-03
-1.010469e-09,1.703125e-03
-1.006469e-09,1.406250e-03
-1.002469e-09,1.343750e-03
-9.984687e-10,6.875000e-04
-9.944687e-10,3.750000e-04
-9.904688e-10,9.375000e-05
-9.864688e-10,-1.406250e-04
-9.824688e-10,-3.281250e-04
-9.784688e-10,-1.875000e-04
-9.744688e-10,-5.937500e-04
-9.704688e-10,-7.500000e-04
-9.664687e-10,-6.562500e-04
-9.624687e-10,-3.281250e-04
-9.584687e-10,-5.625000e-04
-9.544687e-10,-4.531250e-04
-9.504687e-10,-2.968750e-04
-9.464687e-10,-1.250000e-04
-9.424687e-10,9.375000e-05
-9.384687e-10,6.250000e-04
-9.344687e-10,5.781250e-04
-9.304688e-10,7.343750e-04
-9.264688e-10,1.125000e-03
-9.224687e-10,1.718750e-03
-9.184687e-10,1.687500e-03
-9.144687e-10,1.984375e-03
-9.104687e-10,2.250000e-03
-9.064687e-10,2.515625e-03
-9.024688e-10,2.781250e-03
-8.984688e-10,3.328125e-03
-8.944688e-10,3.234375e-03
-8.904687e-10,3.343750e-03
-8.864687e-10,3.640625e-03
-8.824687e-10,4.109375e-03
-8.784687e-10,3.953125e-03
-8.744687e-10,4.078125e-03
-8.704688e-10,4.203125e-03
-8.664688e-10,4.296875e-03
-8.624687e-10,4.390625e-03
-8.584687e-10,4.781250e-03
-8.544687e-10,4.546875e-03
-8.504687e-10,4.515625e-03
-8.464687e-10,4.687500e-03
-8.424688e-10,5.062500e-03
-8.384688e-10,4.828125e-03
-8.344688e-10,4.906250e-03
-8.304687e-10,4.984375e-03
-8.264687e-10,5.093750e-03
-8.224687e-10,5.203125e-03
-8.184687e-10,5.625000e-03
-8.144687e-10,5.453125e-03
-8.104688e-10,5.500000e-03
-8.064688e-10,5.765625e-03
-8.024687e-10,6.250000e-03
-7.984687e-10,6.125000e-03
-7.944687e-10,6.328125e-03
-7.904687e-10,6.531250e-03
-7.864687e-10,6.734375e-03
-7.824688e-10,6.953125e-03
-7.784688e-10,7.468750e-03
-7.744688e-10,7.375000e-03
-7.704687e-10,7.468750e-03
-7.664687e-10,7.765625e-03
-7.624687e-10,8.250000e-03
-7.584687e-10,8.109375e-03
-7.544687e-10,8.250000e-03
-7.504688e-10,8.375000e-03
-7.464688e-10,8.484375e-03
-7.424687e-10,8.546875e-03
-7.384687e-10,8.890625e-03
-7.344687e-10,8.609375e-03
-7.304687e-10,8.484375e-03
-7.264687e-10,8.531250e-03
-7.224688e-10,8.765625e-03
-7.184688e-10,8.343750e-03
-7.144688e-10,8.203125e-03
-7.104687e-10,8.031250e-03
-7.064687e-10,7.828125e-03
-7.024687e-10,7.593750e-03
-6.984687e-10,7.656250e-03
-6.944687e-10,7.093750e-03
-6.904688e-10,6.703125e-03
-6.864688e-10,6.515625e-03
-6.824688e-10,6.531250e-03
-6.784687e-10,5.921875e-03
-6.744687e-10,5.609375e-03
-6.704687e-10,5.312500e-03
-6.664687e-10,5.031250e-03
-6.624688e-10,4.750000e-03
-6.584688e-10,4.796875e-03
-6.544688e-10,4.250000e-03
-6.504687e-10,3.937500e-03
-6.464687e-10,3.859375e-03
