Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.000000e-12
Record Length,1000
Zero Index,310.546875
Vertical Units,V

TIME,CH1
-1.242188e-09,7.750000e-03
-1.238188e-09,6.843750e-03
-1.234187e-09,7.953125e-03
-1.230187e-09,7.656250e-03
-1.226187e-09,7.343750e-03
-1.222187e-09,6.625000e-03
-1.218187e-09,6.921875e-03
-1.214187e-09,6.406250e-03
-1.210187e-09,6.281250e-03
-1.206187e-09,6.578125e-03
-1.202187e-09,6.656250e-03
-1.198188e-09,6.328125e-03
-1.194188e-09,5.812500e-03
-1.190188e-09,5.687500e-03
-1.186188e-09,5.984375e-03
-1.182188e-09,5.453125e-03
-1.178188e-09,5.953125e-03
-1.174187e-09,6.031250e-03
-1.170187e-09,6.125000e-03
-1.166187e-09,4.812500e-03
-1.162187e-09,5.515625e-03
-1.158187e-09,4.593750e-03
-1.154187e-09,5.718750e-03
-1.150187e-09,5.421875e-03
-1.146187e-09,5.125000e-03
-1.142187e-09,4.437500e-03
-1.138188e-09,4.765625e-03
-1.134188e-09,4.296875e-03
-1.130188e-09,4.234375e-03
-1.126188e-09,4.578125e-03
-1.122188e-09,4.734375e-03
-1.118188e-09,4.500000e-03
-1.114187e-09,4.062500e-03
-1.110187e-09,4.031250e-03
-1.106187e-09,4.421875e-03
-1.102187e-09,4.000000e-03
-1.098187e-09,4.625000e-03
-1.094187e-09,4.843750e-03
-1.090187e-09,5.062500e-03
-1.086187e-09,3.875000e-03
-1.082187e-09,4.734375e-03
-1.078188e-09,3.984375e-03
-1.074188e-09,5.250000e-03
-1.070188e-09,5.125000e-03
-1.066188e-09,5.000000e-03
-1.062188e-09,4.484375e-03
-1.058188e-09,5.000000e-03
-1.054187e-09,4.703125e-03
-1.050187e-09,4.828125e-03
-1.046187e-09,5.359375e-03
-1.042187e-09,5.703125e-03
-1.038187e-09,5.640625e-03
-1.034187e-09,5.390625e-03
-1.030187e-09,5.546875e-03
-1.026187e-09,6.109375e-03
-1.022187e-09,5.875000e-03
-1.018188e-09,6.656250e-03
-1.014188e-09,7.046875e-03
-1.010188e-09,7.421875e-03
-1.006188e-09,6.375000e-03
-1.002188e-09,7.375000e-03
-9.981875e-10,6.750000e-03
-9.941875e-10,8.125000e-03
-9.901875e-10,8.093750e-03
-9.861875e-10,8.062500e-03
-9.821875e-10,7.625000e-03
-9.781875e-10,8.187500e-03
-9.741875e-10,7.921875e-03
-9.701875e-10,8.078125e-03
-9.661875e-10,8.609375e-03
-9.621875e-10,8.937500e-03
-9.581875e-10,8.859375e-03
-9.541875e-10,8.546875e-03
-9.501875e-10,8.640625e-03
-9.461875e-10,9.109375e-03
-9.421875e-10,8.765625e-03
-9.381875e-10,9.421875e-03
-9.341875e-10,9.656250e-03
-9.301875e-10,9.859375e-03
-9.261875e-10,8.656250e-03
-9.221875e-10,9.437500e-03
-9.181875e-10,8.593750e-03
-9.141875e-10,9.718750e-03
-9.101875e-10,9.453125e-03
-9.061875e-10,9.156250e-03
-9.021875e-10,8.453125e-03
-8.981875e-10,8.718750e-03
-8.941875e-10,8.171875e-03
-8.901875e-10,8.015625e-03
-8.861875e-10,8.250000e-03
-8.821875e-10,8.265625e-03
-8.781875e-10,7.859375e-03
-8.741875e-10,7.250000e-03
-8.701875e-10,7.015625e-03
-8.661875e-10,7.171875e-03
-8.621875e-10,6.531250e-03
-8.581875e-10,6.875000e-03
-8.541875e-10,6.812500e-03
-8.501875e-10,6.734375e-03
-8.461875e-10,5.265625e-03
-8.421875e-10,5.796875e-03
-8.381875e-10,4.703125e-03
-8.341875e-10,5.578125e-03
-8.301875e-10,5.125000e-03
-8.261875e-10,4.640625e-03
-8.221875e-10,3.781250e-03
-8.181875e-10,3.906250e-03
-8.141875e-10,3.234375e-03
-8.101875e-10,3.015625e-03
-8.061875e-10,3.171875e-03
-8.021875e-10,3.140625e-03
-7.981875e-10,2.750000e-03
-7.941875e-10,2.140625e-03
-7.901875e-10,1.953125e-03
-7.861875e-10,2.171875e-03
-7.821875e-10,1.625000e-03
-7.781875e-10,2.093750e-03
-7.741875e-10,2.171875e-03
-7.701875e-10,2.281250e-03
-7.661875e-10,1.015625e-03
-7.621875e-10,1.765625e-03
-7.581875e-10,9.375000e-04
-7.541875e-10,2.046875e-03
-7.501875e-10,1.890625e-03
-7.461875e-10,1.718750e-03
-7.421875e-10,1.187500e-03
-7.381875e-10,1.656250e-03
-7.341875e-10,1.312500e-03
-7.301875e-10,1.453125e-03
-7.261875e-10,1.984375e-03
-7.221875e-10,2.296875e-03
-7.181875e-10,2.328125e-03
-7.141875e-10,2.093750e-03
-7.101875e-10,2.265625e-03
-7.061875e-10,2.859375e-03
-7.021875e-10,2.687500e-03
-6.981875e-10,3.515625e-03
-6.941875e-10,3.968750e-03
-6.901875e-10,4.390625e-03
-6.861875e-10,3.437500e-03
-6.821875e-10,4.515625e-03
-6.781875e-10,4.000000e-03
-6.741875e-10,5.375000e-03
-6.701875e-10,5.484375e-03
-6.661875e-10,5.562500e-03
-6.621875e-10,5.250000e-03
-6.581875e-10,5.859375e-03
-6.541875e-10,5.671875e-03
-6.501875e-10,5.953125e-03
-6.461875e-10,6.578125e-03
-6.421875e-10,6.953125e-03
